author_id,location_id,business_type,clapi_submission_id,state,publish_after,content_type,media_id,text,type,author_name
176684,74818,professional_services,ece25f6c-097e-4720-9716-fbabdaf5e773,PUBLISHED,2021-02-26T20:02:00Z,PRODUCT_OR_SERVICE,3aa77f46-246c-440b-92f5-0b4d25f598a5,New to the state? No worries. I can help acquaint you in no time!,INSTAGRAM_POST,Jose Rodriguez
176684,74818,professional_services,c0808f06-fcbd-493b-9bb0-01600bb01d84,PUBLISHED,2021-02-22T21:02:00Z,PRODUCT_OR_SERVICE,70760400-47c0-4de9-b914-93863ff4af86,"Hello! As a full-service residential real estate agent, I'm prepared to help you buy or sell in California. Call (530) 913-2062 if you have any questions.",INSTAGRAM_POST,Jose Rodriguez
176684,74818,professional_services,563633d4-532b-4b21-b486-1f78fc1b50b6,PUBLISHED,2021-02-19T20:02:00Z,PRODUCT_OR_SERVICE,fc1bfdda-0935-432b-8a56-50959f6ef421,It's not a home that makes a family. It's the other way around.,INSTAGRAM_POST,Jose Rodriguez
176684,74818,professional_services,976be711-f524-4f8f-b9c4-0bd223bcdc0c,PUBLISHED,2021-02-16T21:02:00Z,PRODUCT_OR_SERVICE,026108bc-f18a-48df-8a3a-f9e08372287e,This is how you'll feel when you finally get to settle into your new home.,INSTAGRAM_POST,Jose Rodriguez
111680,67095,professional_services,4c51cd65-f913-44a5-bc68-1d852301ae74,PUBLISHED,2021-02-24T14:17:00Z,PRODUCT_OR_SERVICE,2906fe7c-d566-4877-8c88-da9608f73652,"Whether its on the phone or through email, Penny is a reliable communicator to stay on top of your questions and updates. Give her a call at (313) 218-5779.",INSTAGRAM_POST,Katie Ratcliffe
111680,67095,professional_services,0ff4f65a-1f34-455b-afb5-a76c5ae16e4d,PUBLISHED,2021-02-25T19:16:00Z,PRODUCT_OR_SERVICE,43a938d7-4e22-4568-8107-e4294dd959ec,You can trust Penny's expertise and knowledge to be a reliable voice of reason and assistance during your home-buying or -selling process. #pennytarwacki #newdimensionsrealty #wyandotte #michiganrealestate #michiganrealtor,INSTAGRAM_POST,Katie Ratcliffe
111680,69754,professional_services,1ffa6396-4dec-4f9e-9cbe-38fbb34cf515,PUBLISHED,2021-02-23T14:16:00Z,ABOUT,4c0c32c8-ed45-427a-bcbd-d9f33c7fbb1e,"With 34 years of industry experience, you can always expect knowledgeable advice from us.",INSTAGRAM_POST,Katie Ratcliffe
111680,69754,professional_services,179327fa-8eba-4666-89ed-39245a77aeed,PUBLISHED,2021-02-25T19:00:00Z,PARTICIPATION,fa1481fc-bf4e-4f2f-8de9-8b474a253270,"Picture this: You just moved into your beautiful new home, you're unpacking the boxes and starting to settle in. You visualize this bedroom with all its furnishings. What color are you painting it?",INSTAGRAM_POST,Katie Ratcliffe
111680,80262,professional_services,4e28f630-eb07-4c75-b5c0-ec044bab8248,PUBLISHED,2021-02-23T16:20:00Z,TESTIMONIAL,da0ad10b-f126-45de-941d-77952e32b430,"I'll walk you through the buying and selling process with knowledge, expertise, and laughs along the way. #ogden #ogdenrealestate #relocationrealestate #laughwhileyouwork #mondaytomonday #buyorsellogden",INSTAGRAM_POST,Katie Ratcliffe
111680,80262,professional_services,66c954d2-a860-4598-9f35-0248ca47c600,PUBLISHED,2021-02-26T15:07:00Z,PARTICIPATION,f5803feb-69bd-4481-a1c4-781d2ba01639,Hawaiian shirt Friday looks different around here. Let's have some fun and get to work. Call me with any of your home-buying needs: (801) 726-6892. #cowboy #ogden #ogdenrealestate #relocationrealestate #laughwhileyouwork #mondaytomonday #buyorsellogden,INSTAGRAM_POST,Katie Ratcliffe
